code size_ha age init_individuals ini_seedbank habitat_quality
6 54 30 378 640 high
4 49 30 343 640 high
3 47 30 329 640 medium
9 22 30 154 640 medium
1 21 30 147 640 medium
18 18 30 126 640 medium
15 16 30 112 640 medium
16 16 30 112 640 medium
2 14 30 98 640 medium
14 14 30 98 640 medium
8 10 30 70 640 medium
7 8 30 56 640 medium
17 8 30 56 640 medium
11 7 30 49 640 medium
10 5 30 35 640 medium
12 5 30 35 640 medium
5 4 30 28 640 medium
13 3 30 21 640 medium
24 15 0 0 0 medium
37 13 0 0 0 medium
26 10 0 0 0 medium
30 9 0 0 0 medium
20 8 0 0 0 medium
33 5 0 0 0 medium
34 5 0 0 0 medium
28 4 0 0 0 medium
29 4 0 0 0 low
31 4 0 0 0 low
32 4 0 0 0 low
19 3 0 0 0 low
23 3 0 0 0 low
25 3 0 0 0 low
35 3 0 0 0 low
21 2 0 0 0 low
22 2 0 0 0 low
27 2 0 0 0 low
36 1 0 0 0 low
