code size_ha age init_individuals ini_seedbank habitat_quality
1 21 30 5 640 low
2 14 30 254 640 low
3 47 30 826 640 low
4 49 30 917 640 low
5 4 30 34 640 low
6 54 30 292 640 low
7 8 30 151 640 low
8 10 30 2 640 low
9 22 30 62 640 low
10 5 30 66 640 low
11 7 30 88 640 low
12 5 30 72 640 low
13 3 30 14 640 low
14 14 30 171 640 low
15 16 30 93 640 low
16 16 30 196 640 low
17 8 30 65 640 low
18 18 30 255 640 low
19 3 0 0 0 low
20 8 0 0 0 low
21 2 0 0 0 low
22 2 0 0 0 low
23 3 0 0 0 low
24 15 0 0 0 low
25 3 0 0 0 low
26 10 0 0 0 low
27 2 0 0 0 low
28 4 0 0 0 low
29 4 0 0 0 low
30 9 0 0 0 low
31 4 0 0 0 low
32 4 0 0 0 low
33 5 0 0 0 low
34 5 0 0 0 low
35 3 0 0 0 low
36 1 0 0 0 low
37 13 0 0 0 low
