code size_ha age init_individuals ini_seedbank habitat_quality
1 21 30 5 640 high
2 14 30 254 640 high
3 47 30 826 640 high
4 49 30 917 640 high
5 4 30 34 640 high
6 54 30 292 640 high
7 8 30 151 640 high
8 10 30 2 640 high
9 22 30 62 640 high
10 5 30 66 640 high
11 7 30 88 640 high
12 5 30 72 640 high
13 3 30 14 640 high
14 14 30 171 640 high
15 16 30 93 640 high
16 16 30 196 640 high
17 8 30 65 640 high
18 18 30 255 640 high
19 3 0 0 0 high
20 8 0 0 0 high
21 2 0 0 0 high
22 2 0 0 0 high
23 3 0 0 0 high
24 15 0 0 0 high
25 3 0 0 0 high
26 10 0 0 0 high
27 2 0 0 0 high
28 4 0 0 0 high
29 4 0 0 0 high
30 9 0 0 0 high
31 4 0 0 0 high
32 4 0 0 0 high
33 5 0 0 0 high
34 5 0 0 0 high
35 3 0 0 0 high
36 1 0 0 0 high
37 13 0 0 0 high
