code size_ha age init_individuals ini_seedbank habitat_quality
1 21 30 5 640 medium
2 14 30 254 640 medium
3 47 30 826 640 medium
4 49 30 917 640 medium
5 4 30 34 640 medium
6 54 30 292 640 medium
7 8 30 151 640 medium
8 10 30 2 640 medium
9 22 30 62 640 medium
10 5 30 66 640 medium
11 7 30 88 640 medium
12 5 30 72 640 medium
13 3 30 14 640 medium
14 14 30 171 640 medium
15 16 30 93 640 medium
16 16 30 196 640 medium
17 8 30 65 640 medium
18 18 30 255 640 medium
19 3 0 0 0 medium
20 8 0 0 0 medium
21 2 0 0 0 medium
22 2 0 0 0 medium
23 3 0 0 0 medium
24 15 0 0 0 medium
25 3 0 0 0 medium
26 10 0 0 0 medium
27 2 0 0 0 medium
28 4 0 0 0 medium
29 4 0 0 0 medium
30 9 0 0 0 medium
31 4 0 0 0 medium
32 4 0 0 0 medium
33 5 0 0 0 medium
34 5 0 0 0 medium
35 3 0 0 0 medium
36 1 0 0 0 medium
37 13 0 0 0 medium
