sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop is_dispersal scenario_file param1 val1 param2 val2 param3 val3 param4 val4 param5 val5
1 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 5 fire_size_x 530.33 fire_size_y 883.8835
2 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 6 fire_size_x 530.33 fire_size_y 883.8835
3 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 7 fire_size_x 530.33 fire_size_y 883.8835
4 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 8 fire_size_x 530.33 fire_size_y 883.8835
5 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 9 fire_size_x 530.33 fire_size_y 883.8835
6 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 10 fire_size_x 530.33 fire_size_y 883.8835
7 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 11 fire_size_x 530.33 fire_size_y 883.8835
8 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 12 fire_size_x 530.33 fire_size_y 883.8835
9 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 13 fire_size_x 530.33 fire_size_y 883.8835
10 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 14 fire_size_x 530.33 fire_size_y 883.8835
11 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 15 fire_size_x 530.33 fire_size_y 883.8835
12 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 16 fire_size_x 530.33 fire_size_y 883.8835
13 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 17 fire_size_x 530.33 fire_size_y 883.8835
14 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 18 fire_size_x 530.33 fire_size_y 883.8835
15 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 19 fire_size_x 530.33 fire_size_y 883.8835
16 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 20 fire_size_x 530.33 fire_size_y 883.8835
17 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 21 fire_size_x 530.33 fire_size_y 883.8835
