sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop is_dispersal scenario_file param1 val1 param2 val2
1 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 5 mort_scn 2
2 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 6 mort_scn 2
3 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 7 mort_scn 2
4 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 8 mort_scn 2
5 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 9 mort_scn 2
6 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 10 mort_scn 2
7 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 11 mort_scn 2
8 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 12 mort_scn 2
9 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 13 mort_scn 2
10 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 14 mort_scn 2
11 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 15 mort_scn 2
12 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 16 mort_scn 2
13 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 17 mort_scn 2
14 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 18 mort_scn 2
15 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 19 mort_scn 2
16 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 20 mort_scn 2
17 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 21 mort_scn 2
18 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 22 mort_scn 2
19 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 23 mort_scn 2
20 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 24 mort_scn 2
21 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 25 mort_scn 2
22 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 26 mort_scn 2
23 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 27 mort_scn 2
24 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 28 mort_scn 2
25 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 29 mort_scn 2
26 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 30 mort_scn 2
27 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 31 mort_scn 2
28 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 32 mort_scn 2
29 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 33 mort_scn 2
30 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 34 mort_scn 2
31 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 35 mort_scn 2
32 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 5 mort_scn 5
33 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 6 mort_scn 5
34 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 7 mort_scn 5
35 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 8 mort_scn 5
36 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 9 mort_scn 5
37 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 10 mort_scn 5
38 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 11 mort_scn 5
39 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 12 mort_scn 5
40 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 13 mort_scn 5
41 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 14 mort_scn 5
42 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 15 mort_scn 5
43 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 16 mort_scn 5
44 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 17 mort_scn 5
45 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 18 mort_scn 5
