sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop is_dispersal scenario_file param1 val1 param2 val2 param3 val3
1 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 5 model_type 0
2 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 6 model_type 0
3 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 7 model_type 0
4 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 8 model_type 0
5 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 9 model_type 0
6 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 10 model_type 0
7 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 11 model_type 0
8 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 12 model_type 0
9 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 13 model_type 0
10 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 14 model_type 0
11 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 15 model_type 0
12 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 16 model_type 0
13 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 17 model_type 0
14 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 18 model_type 0
15 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 19 model_type 0
16 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 20 model_type 0
17 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 21 model_type 0
18 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 22 model_type 0
19 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 23 model_type 0
20 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 24 model_type 0
21 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 25 model_type 0
22 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 26 model_type 0
