sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop is_dispersal scenario_file param1 val1 param2 val2 param3 val3 param4 val4 param5 val5
1 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 5 metapop_file big_to_small/metapop_big_to_small_0.csv
2 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 6 metapop_file big_to_small/metapop_big_to_small_0.csv
3 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 7 metapop_file big_to_small/metapop_big_to_small_0.csv
4 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 8 metapop_file big_to_small/metapop_big_to_small_0.csv
5 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 9 metapop_file big_to_small/metapop_big_to_small_0.csv
6 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 10 metapop_file big_to_small/metapop_big_to_small_0.csv
7 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 11 metapop_file big_to_small/metapop_big_to_small_0.csv
8 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 12 metapop_file big_to_small/metapop_big_to_small_0.csv
9 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 13 metapop_file big_to_small/metapop_big_to_small_0.csv
10 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 14 metapop_file big_to_small/metapop_big_to_small_0.csv
11 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 15 metapop_file big_to_small/metapop_big_to_small_0.csv
12 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 16 metapop_file big_to_small/metapop_big_to_small_0.csv
13 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 17 metapop_file big_to_small/metapop_big_to_small_0.csv
14 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 18 metapop_file big_to_small/metapop_big_to_small_0.csv
15 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 19 metapop_file big_to_small/metapop_big_to_small_0.csv
16 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 20 metapop_file big_to_small/metapop_big_to_small_0.csv
17 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 21 metapop_file big_to_small/metapop_big_to_small_0.csv
18 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 22 metapop_file big_to_small/metapop_big_to_small_0.csv
19 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 23 metapop_file big_to_small/metapop_big_to_small_0.csv
20 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 24 metapop_file big_to_small/metapop_big_to_small_0.csv
21 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 25 metapop_file big_to_small/metapop_big_to_small_0.csv
22 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 26 metapop_file big_to_small/metapop_big_to_small_0.csv
23 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 model_type 1 plant_type_file plant_types_6.csv fire_interval_mean 27 metapop_file big_to_small/metapop_big_to_small_0.csv
